SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2011,32,32029,58XX N PULASKI RD,T027,GRAVID,08/12/2011 12:08:00 AM,15,negative,CULEX PIPIENS/RESTUANS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2007,29,21294,37XX E 118TH ST,T212,GRAVID,07/19/2007 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2011,27,31222,33XX N RUTHERFORD AVE,T144,GRAVID,07/11/2011 12:07:00 AM,3,negative,CULEX RESTUANS,41.940781698,-87.794429759,"(41.940781697748726, -87.79442975887669)"
2012,37,35137,58XX N RIDGE AVE,T231,GRAVID,09/13/2012 12:09:00 AM,5,negative,CULEX PIPIENS,41.987880692,-87.666785075,"(41.98788069188603, -87.66678507548095)"
2013,35,37398,100XX W OHARE AIRPORT,T916,GRAVID,08/29/2013 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2009,23,26537,100XX W OHARE AIRPORT,T916,GRAVID,06/15/2009 12:06:00 AM,24,negative,CULEX PIPIENS/RESTUANS,,,
2011,27,31342,100XX W OHARE AIRPORT,T905,GRAVID,07/11/2011 12:07:00 AM,8,negative,CULEX RESTUANS,,,
2008,30,24792,91XX W HIGGINS RD,T009,GRAVID,07/28/2008 12:07:00 AM,9,negative,CULEX PIPIENS/RESTUANS,41.988586396,-87.854473351,"(41.988586396324166, -87.85447335120561)"
2008,29,24683,36XX N PITTSBURGH AVE,T011,GRAVID,07/23/2008 12:07:00 AM,18,negative,CULEX RESTUANS,41.945961094,-87.832942473,"(41.94596109447193, -87.83294247349616)"
2014,35,39765,17XX W ADDISON ST,T224,GRAVID,08/28/2014 12:08:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.947044495,-87.673061053,"(41.94704449504484, -87.67306105349785)"
2009,22,26385,131XX S BRANDON AVE,T209,GRAVID,06/05/2009 12:06:00 AM,1,negative,CULEX TERRITANS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2007,33,22439,37XX S PULASKI RD,T063,GRAVID,08/21/2007 12:08:00 AM,11,negative,CULEX PIPIENS,41.825398256,-87.723962137,"(41.82539825646484, -87.72396213667864)"
2008,33,25254,41XX N OAK PARK AVE,T002,GRAVID,08/19/2008 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2014,30,38822,77XX S EBERHART AVE,T080,GRAVID,07/24/2014 12:07:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2014,40,40621,4XX W 127TH,T135,GRAVID,10/02/2014 12:10:00 AM,17,negative,CULEX PIPIENS,,,
2007,34,22689,70XX N MOSELLE AVE,T008,GRAVID,08/24/2007 12:08:00 AM,9,negative,CULEX PIPIENS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2007,29,21034,58XX N WESTERN AVE,T028,CDC,08/01/2007 02:08:53 AM,1,negative,CULEX PIPIENS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2015,32,41690,1XX N CENTRAL PARK DR,T030,GRAVID,08/12/2015 12:08:00 AM,8,negative,CULEX RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2014,30,38823,77XX S EBERHART AVE,T080,GRAVID,07/24/2014 12:07:00 AM,5,negative,CULEX RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2013,28,36177,22XX W 51ST ST,T061,GRAVID,07/12/2013 12:07:00 AM,36,negative,CULEX PIPIENS/RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2015,28,41223,41XX N OAK PARK AVE,T002,GRAVID,07/16/2015 12:07:00 AM,48,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2007,32,21913,60XX W ROSCOE ST,T005,GRAVID,08/15/2007 12:08:00 AM,7,negative,CULEX PIPIENS/RESTUANS,41.941990513,-87.777231472,"(41.941990512833925, -87.7772314719966)"
2012,29,33685,46XX N MILWAUKEE AVE,T003,GRAVID,07/19/2012 12:07:00 AM,30,negative,CULEX RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2015,38,42299,100XX W OHARE AIRPORT,T913,GRAVID,09/23/2015 12:09:00 AM,1,negative,CULEX RESTUANS,,,
2011,38,32750,70XX W ARMITAGE AVE,T151,GRAVID,09/23/2011 12:09:00 AM,29,positive,CULEX PIPIENS/RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2007,29,21118,50XX S UNION AVE,T082,GRAVID,08/01/2007 02:08:57 AM,12,negative,CULEX PIPIENS,41.802359309,-87.643075919,"(41.802359308973436, -87.64307591923095)"
2014,38,40414,100XX W OHARE AIRPORT,T925,GRAVID,09/18/2014 12:09:00 AM,1,negative,CULEX PIPIENS,,,
2012,39,35384,89XX S CARPENTER ST,T159,GRAVID,09/28/2012 12:09:00 AM,4,negative,CULEX PIPIENS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2015,25,40917,24XX E 105TH ST,T128,GRAVID,06/25/2015 12:06:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2014,39,40542,100XX W OHARE AIRPORT,T902,GRAVID,09/25/2014 12:09:00 AM,8,negative,CULEX PIPIENS/RESTUANS,,,
2014,36,39976,91XX W HIGGINS RD,T009,GRAVID,09/05/2014 12:09:00 AM,21,negative,CULEX PIPIENS,41.988586396,-87.854473351,"(41.988586396324166, -87.85447335120561)"
2007,37,23549,127XX S DOTY AVE,T115,CDC,09/19/2007 12:09:00 AM,50,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2007,27,20620,47XX S CORNELL AVE,T075,GRAVID,07/11/2007 03:07:41 AM,1,negative,CULEX SALINARIUS,41.808090064,-87.589286507,"(41.80809006352392, -87.58928650652244)"
2012,30,33953,51XX N MONT CLARE AVE,T223,GRAVID,07/27/2012 12:07:00 AM,25,negative,CULEX PIPIENS/RESTUANS,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)"
2014,27,38371,61XX W FULLERTON AVE,T013,GRAVID,07/03/2014 12:07:00 AM,15,negative,CULEX PIPIENS/RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2010,28,29074,89XX S CARPENTER ST,T159,GRAVID,07/16/2010 12:07:00 AM,1,negative,CULEX PIPIENS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2014,27,38339,41XX N OAK PARK AVE,T002,GRAVID,07/03/2014 12:07:00 AM,39,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2010,36,30446,24XX E 105TH ST,T128,GRAVID,09/13/2010 12:09:00 AM,1,negative,CULEX RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2008,33,25253,41XX N OAK PARK AVE,T002,GRAVID,08/19/2008 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2010,24,28678,100XX W OHARE AIRPORT,T912,GRAVID,06/25/2010 12:06:00 AM,47,negative,CULEX RESTUANS,,,
2014,27,38365,58XX N WESTERN AVE,T028,GRAVID,07/03/2014 12:07:00 AM,12,negative,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2007,26,20467,2XX W 89TH ST,T096,CDC,08/02/2007 08:08:19 AM,9,positive,CULEX PIPIENS/RESTUANS,41.732428064,-87.63105648,"(41.73242806400838, -87.63105648014084)"
2016,31,43180,12XX W GREENLEAF AVE,T018,GRAVID,08/04/2016 12:08:00 AM,1,positive,CULEX PIPIENS/RESTUANS,42.010529289,-87.660845069,"(42.01052928915475, -87.6608450688439)"
2013,31,36713,131XX S BRANDON AVE,T209,GRAVID,08/01/2013 12:08:00 AM,4,negative,CULEX PIPIENS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2011,37,32640,5XX S CENTRAL AVE,T031,GRAVID,09/16/2011 12:09:00 AM,43,negative,CULEX PIPIENS/RESTUANS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2007,32,22275,101XX S STONY ISLAND AVE,T138,CDC,08/17/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2011,24,30983,100XX W OHARE,T903,GRAVID,06/17/2011 12:06:00 AM,2,negative,CULEX PIPIENS/RESTUANS,,,
2013,35,37325,22XX N CANNON DR,T054B,GRAVID,08/29/2013 12:08:00 AM,1,negative,CULEX PIPIENS,41.9220638,-87.63223306,"(41.92206380002785, -87.63223305992274)"
2015,28,41160,22XX W 51ST ST,T061,GRAVID,07/16/2015 12:07:00 AM,21,negative,CULEX RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2014,31,38978,35XX W 51ST ST,T062,GRAVID,07/31/2014 12:07:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2012,28,33599,67XX S KEDZIE AVE,T066,GRAVID,07/13/2012 12:07:00 AM,12,negative,CULEX PIPIENS/RESTUANS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2013,37,37594,64XX S STONY ISLAND AVE,T077,GRAVID,09/12/2013 12:09:00 AM,7,negative,CULEX PIPIENS/RESTUANS,41.778128858,-87.586245035,"(41.778128857884745, -87.58624503516381)"
2013,24,35666,71XX N HARLEM AVE,T233,GRAVID,06/14/2013 12:06:00 AM,17,negative,CULEX PIPIENS/RESTUANS,42.010643274,-87.8067973,"(42.0106432736568, -87.80679730045945)"
2016,28,42865,100XX W OHARE AIRPORT,T911,GRAVID,07/14/2016 12:07:00 AM,16,negative,CULEX RESTUANS,,,
2008,29,24637,25XX W GRAND AVE,T046,GRAVID,07/23/2008 12:07:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2009,25,26730,33XX N RUTHERFORD AVE,T144,GRAVID,06/26/2009 12:06:00 AM,3,negative,CULEX RESTUANS,41.940781698,-87.794429759,"(41.940781697748726, -87.79442975887669)"
2009,28,27247,100XX W OHARE,T909,CDC,07/17/2009 12:07:00 AM,1,negative,CULEX PIPIENS,,,
2016,30,43038,17XX W 95TH ST,T094,GRAVID,07/27/2016 12:07:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.7212875,-87.665235702,"(41.72128749967918, -87.66523570170051)"
2014,36,40113,4XX W 127TH,T135,GRAVID,09/05/2014 12:09:00 AM,4,negative,CULEX PIPIENS,,,
2014,37,40293,100XX W OHARE AIRPORT,T924,GRAVID,09/11/2014 12:09:00 AM,3,negative,CULEX PIPIENS/RESTUANS,,,
2009,35,27946,25XX W GRAND AVE,T046,GRAVID,09/03/2009 12:09:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2011,27,31255,25XX S MILLARD AVE,T152,GRAVID,07/11/2011 12:07:00 AM,8,negative,CULEX PIPIENS/RESTUANS,41.845715402,-87.715898597,"(41.845715401799, -87.7158985974353)"
2007,33,22611,101XX S STONY ISLAND AVE,T138,CDC,08/22/2007 12:08:00 AM,50,positive,CULEX PIPIENS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2008,35,25677,72XX N OKETO AVE,T016,GRAVID,09/02/2008 12:09:00 AM,50,positive,CULEX PIPIENS/RESTUANS,42.013029275,-87.811349732,"(42.01302927467806, -87.8113497315539)"
2014,40,40579,14XX N HUMBOLDT DR,T033,GRAVID,10/02/2014 12:10:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2008,36,25838,72XX N OKETO AVE,T016,GRAVID,09/09/2008 12:09:00 AM,50,negative,CULEX PIPIENS/RESTUANS,42.013029275,-87.811349732,"(42.01302927467806, -87.8113497315539)"
2007,29,21075,22XX W PERSHING RD,T060,CDC,08/01/2007 02:08:53 AM,2,negative,CULEX PIPIENS/RESTUANS,41.823127706,-87.682529037,"(41.8231277055702, -87.6825290369968)"
2009,21,26247,28XX N FRANCISCO AVE,T147,GRAVID,06/02/2009 12:06:00 AM,10,negative,CULEX RESTUANS,41.93279021,-87.700237884,"(41.93279020985206, -87.7002378838387)"
2009,21,26262,15XX N LONG AVE,T153,GRAVID,06/02/2009 12:06:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.909339959,-87.761078282,"(41.90933995853726, -87.76107828229969)"
2008,29,24771,4XX W 127TH,T135,GRAVID,07/24/2008 12:07:00 AM,10,negative,CULEX RESTUANS,,,
2011,37,32667,37XX S PULASKI RD,T063,GRAVID,09/16/2011 12:09:00 AM,1,negative,CULEX TARSALIS,41.825398256,-87.723962137,"(41.82539825646484, -87.72396213667864)"
2007,30,21497,89XX S MUSKEGON AVE,T099,GRAVID,08/02/2007 12:08:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.73318788,-87.55562869,"(41.73318787971678, -87.55562868950284)"
2014,30,38790,11XX S CALIFORNIA AVE,T047,GRAVID,07/24/2014 12:07:00 AM,8,negative,CULEX PIPIENS/RESTUANS,41.867599254,-87.695785443,"(41.86759925367238, -87.69578544257037)"
2015,28,41232,51XX N MONT CLARE AVE,T223,GRAVID,07/16/2015 12:07:00 AM,1,negative,CULEX PIPIENS,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)"
2014,28,38585,37XX E 118TH ST,T212,GRAVID,07/10/2014 12:07:00 AM,35,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2013,28,36215,9XX W GARFIELD BLVD,T226,GRAVID,07/12/2013 12:07:00 AM,42,negative,CULEX PIPIENS/RESTUANS,41.794366478,-87.648925137,"(41.79436647814991, -87.64892513653469)"
2010,37,30514,37XX N KEDVALE AVE,T218,GRAVID,09/16/2010 12:09:00 AM,10,negative,CULEX PIPIENS/RESTUANS,41.948500064,-87.730553187,"(41.94850006410376, -87.73055318743594)"
2010,33,29988,39XX S ASHLAND AVE,T074,GRAVID,08/20/2010 12:08:00 AM,1,negative,CULEX PIPIENS,41.820858508,-87.665108095,"(41.82085850772701, -87.66510809467968)"
2013,33,37060,6XX E 91ST PL,T227,GRAVID,08/15/2013 12:08:00 AM,11,negative,CULEX PIPIENS,41.728490034,-87.608524308,"(41.728490033986375, -87.60852430813071)"
2007,28,20822,63XX W 64TH ST,T155,GRAVID,08/01/2007 02:08:34 AM,2,negative,CULEX PIPIENS/RESTUANS,41.776005392,-87.779407668,"(41.77600539167921, -87.77940766760916)"
2007,39,24000,131XX S BRANDON AVE,T209,GRAVID,10/09/2007 12:10:00 AM,19,negative,CULEX PIPIENS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2009,25,26794,100XX W OHARE AIRPORT,T901,GRAVID,06/29/2009 12:06:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2007,38,23610,53XX W AGATITE AVE,T141,GRAVID,09/24/2007 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.961584365,-87.760616703,"(41.96158436461, -87.76061670251877)"
2015,39,42372,58XX N WESTERN AVE,T028,GRAVID,09/30/2015 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2010,33,30004,100XX W OHARE AIRPORT,T902,GRAVID,08/20/2010 12:08:00 AM,12,positive,CULEX PIPIENS/RESTUANS,,,
2014,36,40126,127XX S DOTY AVE,T115,GRAVID,09/05/2014 12:09:00 AM,25,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2008,31,25024,24XX E 105TH ST,T128,GRAVID,08/05/2008 12:08:00 AM,6,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2014,27,38395,21XX N CANNON DR,T054C,GRAVID,07/03/2014 12:07:00 AM,2,negative,CULEX RESTUANS,41.921776903,-87.632140452,"(41.921776903428494, -87.63214045192028)"
2014,32,39236,3XX W 104TH ST,T095,GRAVID,08/07/2014 12:08:00 AM,5,negative,CULEX PIPIENS,41.705327644,-87.632955365,"(41.70532764418326, -87.63295536539816)"
2007,25,20327,61XX N LEMONT AVE,T012,GRAVID,07/02/2007 02:07:45 AM,1,negative,CULEX SALINARIUS,41.993564362,-87.745420387,"(41.99356436155678, -87.74542038704298)"
2007,31,21761,89XX S CARPENTER ST,T159,GRAVID,08/07/2007 12:08:00 AM,9,negative,CULEX PIPIENS/RESTUANS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2013,28,36050,41XX N OAK PARK AVE,T002,GRAVID,07/12/2013 12:07:00 AM,50,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2016,24,42518,100XX W OHARE AIRPORT,T911,GRAVID,06/16/2016 12:06:00 AM,14,negative,CULEX PIPIENS/RESTUANS,,,
2010,29,29272,10XX E 67TH ST,T073,GRAVID,07/23/2010 12:07:00 AM,2,negative,CULEX PIPIENS,41.773085401,-87.600167559,"(41.773085401492715, -87.60016755939222)"
2009,22,26344,12XX W GREENLEAF AVE,T018,GRAVID,06/05/2009 12:06:00 AM,2,negative,CULEX RESTUANS,42.010529289,-87.660845069,"(42.01052928915475, -87.6608450688439)"
2007,35,23171,127XX S DOTY AVE,T115,CDC,09/06/2007 12:09:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2012,29,33771,1XX N CENTRAL PARK DR,T030,GRAVID,07/20/2012 12:07:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2010,26,28681,46XX N MILWAUKEE AVE,T003,GRAVID,07/01/2010 12:07:00 AM,9,negative,CULEX RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2007,27,20660,2XX W 89TH ST,T096,CDC,07/11/2007 03:07:33 AM,21,negative,CULEX RESTUANS,41.732428064,-87.63105648,"(41.73242806400838, -87.63105648014084)"
2008,30,24864,22XX N CANNON DR,T054B,GRAVID,07/28/2008 12:07:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.9220638,-87.63223306,"(41.92206380002785, -87.63223305992274)"
2012,37,35194,100XX W OHARE AIRPORT,T905,GRAVID,09/13/2012 12:09:00 AM,17,negative,CULEX PIPIENS,,,
2014,32,39084,41XX N OAK PARK AVE,T002,GRAVID,08/07/2014 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2013,33,36957,22XX N CANNON DR,T054A,GRAVID,08/15/2013 12:08:00 AM,2,negative,CULEX PIPIENS,41.922736649,-87.632449967,"(41.92273664946568, -87.63244996720142)"
2012,27,33394,52XX W 63RD ST,T065,GRAVID,07/09/2012 12:07:00 AM,30,negative,CULEX RESTUANS,41.778305156,-87.754366286,"(41.77830515554422, -87.75436628603191)"
2008,32,25112,15XX W WEBSTER AVE,T045,GRAVID,08/12/2008 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.921704574,-87.666963235,"(41.92170457422864, -87.66696323469388)"
2015,24,40835,77XX S EBERHART AVE,T080,GRAVID,06/18/2015 12:06:00 AM,19,negative,CULEX RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2016,27,42760,70XX N MOSELLE AVE,T008,GRAVID,07/08/2016 12:07:00 AM,4,negative,CULEX PIPIENS/RESTUANS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2010,31,29589,35XX W 51ST ST,T062,GRAVID,08/05/2010 12:08:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2007,38,23643,5XX S CENTRAL AVE,T031,CDC,09/24/2007 12:09:00 AM,20,negative,CULEX PIPIENS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2012,34,34822,50XX S UNION AVE,T082,GRAVID,08/24/2012 12:08:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.802359309,-87.643075919,"(41.802359308973436, -87.64307591923095)"
2007,32,21956,6XX W MONTROSE DR,T017,GRAVID,08/15/2007 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.962014638,-87.646847726,"(41.96201463828783, -87.64684772570871)"
2012,27,33436,119XX S ASHLAND AVE,T090,GRAVID,07/09/2012 12:07:00 AM,3,negative,CULEX RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2010,25,28645,37XX E 118TH ST,T212,GRAVID,06/25/2010 12:06:00 AM,23,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2008,32,25063,46XX N MILWAUKEE AVE,T003,GRAVID,08/12/2008 12:08:00 AM,21,negative,CULEX PIPIENS/RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2011,29,31555,100XX W OHARE AIRPORT,T918,GRAVID,07/25/2011 12:07:00 AM,48,negative,CULEX PIPIENS/RESTUANS,,,
2007,31,21829,127XX S DOTY AVE,T115,CDC,08/08/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2009,21,26268,100XX W OHARE AIRPORT,T911,GRAVID,06/03/2009 12:06:00 AM,27,negative,CULEX PIPIENS/RESTUANS,,,
2011,35,32366,61XX W FULLERTON AVE,T013,GRAVID,09/01/2011 12:09:00 AM,14,negative,CULEX PIPIENS/RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2012,26,33237,13XX N LARAMIE AVE,T230,GRAVID,06/29/2012 12:06:00 AM,9,negative,CULEX PIPIENS/RESTUANS,41.904773448,-87.755685753,"(41.904773447835936, -87.75568575289235)"
2012,28,33557,17XX N PULASKI RD,T039,GRAVID,07/13/2012 12:07:00 AM,6,negative,CULEX RESTUANS,41.913567582,-87.726300302,"(41.91356758228873, -87.72630030176042)"
2011,33,32230,100XX W OHARE AIRPORT,T913,GRAVID,08/19/2011 12:08:00 AM,27,negative,CULEX PIPIENS,,,
2012,37,35197,100XX W OHARE AIRPORT,T905,GRAVID,09/13/2012 12:09:00 AM,9,negative,CULEX RESTUANS,,,
2007,37,23385,58XX N WESTERN AVE,T028,CDC,09/18/2007 12:09:00 AM,3,negative,CULEX RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2009,25,26760,79XX S CHICAGO,T083,GRAVID,06/26/2009 12:06:00 AM,4,negative,CULEX PIPIENS/RESTUANS,,,
2013,29,36328,42XX W 65TH ST,T235,GRAVID,07/19/2013 12:07:00 AM,1,negative,CULEX SALINARIUS,41.774841115,-87.728005819,"(41.7748411153277, -87.72800581922763)"
2013,26,35898,89XX S CARPENTER ST,T159,GRAVID,06/28/2013 12:06:00 AM,8,negative,CULEX RESTUANS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2010,36,30374,34XX N LONG AVE,T234,GRAVID,09/10/2010 12:09:00 AM,2,negative,CULEX RESTUANS,41.942858415,-87.761879389,"(41.94285841518001, -87.76187938886866)"
2014,29,38729,101XX S STONY ISLAND AVE,T138,GRAVID,07/17/2014 12:07:00 AM,5,negative,CULEX RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2010,28,29020,22XX W 51ST ST,T061,GRAVID,07/16/2010 12:07:00 AM,38,negative,CULEX PIPIENS/RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2013,29,36269,61XX W FULLERTON AVE,T013,GRAVID,07/19/2013 12:07:00 AM,20,negative,CULEX RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2014,29,38655,17XX N PULASKI RD,T039,GRAVID,07/17/2014 12:07:00 AM,5,negative,CULEX RESTUANS,41.913567582,-87.726300302,"(41.91356758228873, -87.72630030176042)"
2010,29,29274,35XX W 116TH ST,T158,GRAVID,07/26/2010 12:07:00 AM,9,negative,CULEX RESTUANS,41.682180403,-87.710091651,"(41.6821804028987, -87.71009165099498)"
2015,31,41588,41XX N OAK PARK AVE,T002,GRAVID,08/06/2015 12:08:00 AM,12,positive,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2011,24,30961,4XX W 127TH,T135,GRAVID,06/17/2011 12:06:00 AM,33,negative,CULEX PIPIENS/RESTUANS,,,
2008,31,24941,58XX N WESTERN AVE,T028,GRAVID,08/04/2008 12:08:00 AM,33,positive,CULEX PIPIENS/RESTUANS,41.987244608,-87.68941677,"(41.98724460846669, -87.68941677018957)"
2007,35,23062,35XX W 51ST ST,T062,CDC,09/04/2007 12:09:00 AM,19,negative,CULEX PIPIENS/RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2007,33,22603,24XX E 105TH ST,T128,CDC,08/22/2007 12:08:00 AM,17,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2007,35,23176,127XX S DOTY AVE,T115,CDC,09/06/2007 12:09:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2012,34,34768,45XX N CAMPBELL AVE,T220,GRAVID,08/23/2012 12:08:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.964405454,-87.691370391,"(41.96440545399697, -87.69137039109717)"
2007,34,22882,122XX S STONY ISLAND AVE,T104,GRAVID,08/28/2007 12:08:00 AM,2,negative,CULEX PIPIENS,41.672376176,-87.575477377,"(41.67237617579695, -87.57547737657654)"
2010,37,30536,75XX N OAKLEY AVE,T148,GRAVID,09/16/2010 12:09:00 AM,3,negative,CULEX RESTUANS,42.01780085,-87.687601446,"(42.0178008501155, -87.68760144594536)"
2014,32,39083,41XX N OAK PARK AVE,T002,GRAVID,08/07/2014 12:08:00 AM,41,positive,CULEX PIPIENS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2007,35,23069,67XX S KEDZIE AVE,T066,GRAVID,09/04/2007 12:09:00 AM,3,negative,CULEX PIPIENS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2012,33,34653,61XX W FULLERTON AVE,T013,GRAVID,08/16/2012 12:08:00 AM,19,negative,CULEX PIPIENS/RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2013,26,35845,41XX N OAK PARK AVE,T002,GRAVID,06/27/2013 12:06:00 AM,9,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2012,30,34159,100XX W OHARE AIRPORT,T918,GRAVID,07/27/2012 12:07:00 AM,3,positive,CULEX RESTUANS,,,
2007,27,20540,60XX N AVONDALE AVE,T006,GRAVID,07/11/2007 03:07:41 AM,2,negative,CULEX RESTUANS,41.99023373,-87.797219879,"(41.99023372978676, -87.79721987927368)"
